scan_name,plane,scan_point,correction_x,correction_y
9212_01Oct23_004415_01Oct23_010327,1,0,-0.23518973527415776,0.21621481438561732
9212_01Oct23_004415_01Oct23_010327,1,1,-0.6683103049994754,0.1297596993228523
9212_01Oct23_004415_01Oct23_010327,1,2,-0.893452044798751,0.0494035086614288
9212_01Oct23_004415_01Oct23_010327,1,3,-1.2715601108936394,-0.034559158342529
9212_01Oct23_004415_01Oct23_010327,1,4,-1.3022776943995908,-0.10242849713404055
9212_01Oct23_004415_01Oct23_010327,1,5,-1.7427077908815438,-0.1855426790613146
9212_01Oct23_004415_01Oct23_010327,1,6,-1.7200555302013532,-0.23735410678054233
9212_01Oct23_004415_01Oct23_010327,1,7,-1.8751699522844765,-0.23011231098529014
9212_01Oct23_004415_01Oct23_010327,1,8,-1.7657951382463906,-0.21007568047209843
9212_01Oct23_004415_01Oct23_010327,1,9,-1.9399197952496143,-0.19790563965448438
9212_01Oct23_004415_01Oct23_010327,1,10,-1.7057621175596074,-0.18505524112497354
9212_01Oct23_004415_01Oct23_010327,1,11,-1.5059596512281628,-0.15387866371529849
9212_01Oct23_004415_01Oct23_010327,1,12,-1.0767563807035094,-0.11322874623735568
9212_01Oct23_004415_01Oct23_010327,1,13,-0.8386277617048665,-0.05670568864523912
9212_01Oct23_004415_01Oct23_010327,1,14,-0.4087231089149393,-0.05456279843298928
9212_01Oct23_004415_01Oct23_010327,1,15,-0.31916027753725595,0.016789295581241793
9212_01Oct23_004415_01Oct23_010327,1,16,-0.1972002348528748,-0.0002498567118276089
9212_01Oct23_004415_01Oct23_010327,1,17,-0.4177941626787446,-0.003031332278091237
9212_01Oct23_004415_01Oct23_010327,1,18,-0.2831839231066738,-0.008631607552887074
9212_01Oct23_004415_01Oct23_010327,1,19,-0.23463640252867346,0.01394528153007222
9212_01Oct23_004415_01Oct23_010327,1,20,-0.26244798052441065,-0.02552312088009293
9212_01Oct23_004415_01Oct23_010327,1,21,-0.2437786622111679,-0.07853572794958548
9212_01Oct23_004415_01Oct23_010327,1,22,-0.5164983904889786,-0.1339629930614353
9212_01Oct23_004415_01Oct23_010327,1,23,-0.4215602106896338,-0.20686841658890154
9212_01Oct23_004415_01Oct23_010327,1,24,-0.34917275993885666,-0.27680636835475325
9212_01Oct23_004415_01Oct23_010327,2,0,0.18561549838937655,-0.20515026155057403
9212_01Oct23_004415_01Oct23_010327,2,1,0.21107213104817613,-0.4065151665992653
9212_01Oct23_004415_01Oct23_010327,2,2,0.1515624937776555,-0.6441966927819911
9212_01Oct23_004415_01Oct23_010327,2,3,0.19324141965837408,-0.6711458424811939
9212_01Oct23_004415_01Oct23_010327,2,4,0.21533207155598574,-0.6451240440764963
9212_01Oct23_004415_01Oct23_010327,2,5,0.1458050014506361,-0.6749725670239654
9212_01Oct23_004415_01Oct23_010327,2,6,0.19995557384004278,-0.6749046029838404
9212_01Oct23_004415_01Oct23_010327,2,7,0.1942409019746907,-0.69918180270169
9212_01Oct23_004415_01Oct23_010327,2,8,0.2028552292969693,-0.6582198437725326
9212_01Oct23_004415_01Oct23_010327,2,9,0.2067697717389953,-0.721514091094241
9212_01Oct23_004415_01Oct23_010327,2,10,0.15222317866544646,-0.5477695492046124
9212_01Oct23_004415_01Oct23_010327,2,11,0.16735197384350256,-0.5103255242947499
9212_01Oct23_004415_01Oct23_010327,2,12,0.2498175760258763,-0.5435501807566625
9212_01Oct23_004415_01Oct23_010327,2,13,0.17599501786471192,-0.48292618358765016
9212_01Oct23_004415_01Oct23_010327,2,14,0.19390301581393973,-0.5442964808399335
9212_01Oct23_004415_01Oct23_010327,2,15,0.14066616467232293,-0.4045800166084454
9212_01Oct23_004415_01Oct23_010327,2,16,0.06365660480165633,-0.3926704777264117
9212_01Oct23_004415_01Oct23_010327,2,17,-0.015584380054538126,-0.40818890852056117
9212_01Oct23_004415_01Oct23_010327,2,18,0.06801120881026176,-0.2822638132563525
9212_01Oct23_004415_01Oct23_010327,2,19,0.08895507814649212,-0.1882016540106328
9212_01Oct23_004415_01Oct23_010327,2,20,0.07444281654653041,-0.23361861429272573
9212_01Oct23_004415_01Oct23_010327,2,21,0.03172056685820673,-0.24830919765487375
9212_01Oct23_004415_01Oct23_010327,2,22,-0.0058454276318053965,-0.32180875855760543
9212_01Oct23_004415_01Oct23_010327,2,23,0.003904602370499369,-0.3147890067136533
9212_01Oct23_004415_01Oct23_010327,2,24,-0.017036413421519542,-0.21485432669123006
9212_01Oct23_020644_01Oct23_022335,1,0,0.093320108939702,-0.3027804267749096
9212_01Oct23_020644_01Oct23_022335,1,1,0.028161085187337453,-0.7411667400241684
9212_01Oct23_020644_01Oct23_022335,1,2,0.11560509787667475,-0.6757496073790878
9212_01Oct23_020644_01Oct23_022335,1,3,0.04496251946087653,-0.7011479869442061
9212_01Oct23_020644_01Oct23_022335,1,4,0.1749891482263688,-0.828917208140309
9212_01Oct23_020644_01Oct23_022335,1,5,0.29131857549000323,-0.8326511402457076
9212_01Oct23_020644_01Oct23_022335,1,6,0.4653769909779278,-0.9710838356193595
9212_01Oct23_020644_01Oct23_022335,1,7,0.5418803027476095,-0.7210236063222402
9212_01Oct23_020644_01Oct23_022335,1,8,0.4601710011892709,-0.7192181088013644
9212_01Oct23_020644_01Oct23_022335,1,9,0.4627346174313566,-0.8495790337503007
9212_01Oct23_020644_01Oct23_022335,1,10,0.4428419310577999,-0.8166146540273308
9212_01Oct23_020644_01Oct23_022335,1,11,0.3829351258735279,-0.6828433920265031
9212_01Oct23_020644_01Oct23_022335,1,12,0.42534941086685485,-0.7822048558559732
9212_01Oct23_020644_01Oct23_022335,1,13,0.3879817336110319,-0.8075797765606141
9212_01Oct23_020644_01Oct23_022335,1,14,0.34803194415286987,-0.9715389011815114
9212_01Oct23_020644_01Oct23_022335,1,15,0.3010827528106475,-0.9392584281793133
9212_01Oct23_020644_01Oct23_022335,1,16,0.3481325397305528,-0.7389693044898109
9212_01Oct23_020644_01Oct23_022335,1,17,0.3888501261566144,-0.7907940475271811
9212_01Oct23_020644_01Oct23_022335,1,18,0.3019287936712183,-0.7394088434683372
9212_01Oct23_020644_01Oct23_022335,1,19,0.3901968693418784,-0.8010601494782623
9212_01Oct23_020644_01Oct23_022335,1,20,0.354218481221626,-0.6552804075749263
9212_01Oct23_020644_01Oct23_022335,1,21,0.25061092784476563,-0.6771689578714615
9212_01Oct23_020644_01Oct23_022335,1,22,0.20204506024734373,-0.815948810473005
9212_01Oct23_020644_01Oct23_022335,1,23,0.048703646264347415,-0.7406237796886705
9212_01Oct23_020644_01Oct23_022335,1,24,-0.02377481843444525,-0.9010120358461036
9212_01Oct23_020644_01Oct23_022335,2,0,-0.16488493971150708,0.2683244307449212
9212_01Oct23_020644_01Oct23_022335,2,1,-0.6734789096814325,0.21683444713168065
9212_01Oct23_020644_01Oct23_022335,2,2,-1.0310670981470564,0.17914638273843927
9212_01Oct23_020644_01Oct23_022335,2,3,-0.9983791419478777,0.08432301602691746
9212_01Oct23_020644_01Oct23_022335,2,4,-1.0814420376003344,0.0589686239073186
9212_01Oct23_020644_01Oct23_022335,2,5,-1.0604685768038011,-0.013044227263542409
9212_01Oct23_020644_01Oct23_022335,2,6,-1.0190627684091291,-0.008791289462977667
9212_01Oct23_020644_01Oct23_022335,2,7,-1.3154978578184158,0.0044525851155424205
9212_01Oct23_020644_01Oct23_022335,2,8,-1.2019983876219755,-0.009643820068764897
9212_01Oct23_020644_01Oct23_022335,2,9,-1.2299738135537717,-0.022758294652087337
9212_01Oct23_020644_01Oct23_022335,2,10,-1.1394131066708446,-0.02269264008777161
9212_01Oct23_020644_01Oct23_022335,2,11,-1.239725372385602,-0.02025366595606697
9212_01Oct23_020644_01Oct23_022335,2,12,-0.9240954842953402,-0.034112014470965644
9212_01Oct23_020644_01Oct23_022335,2,13,-0.6952576414040006,-0.025480296943984775
9212_01Oct23_020644_01Oct23_022335,2,14,-0.5866651889471167,-0.015713830563790342
9212_01Oct23_020644_01Oct23_022335,2,15,-0.37304716750507017,0.02747125207267702
9212_01Oct23_020644_01Oct23_022335,2,16,-0.4661197287619892,-0.03408074413384604
9212_01Oct23_020644_01Oct23_022335,2,17,-0.29210411548994536,-0.06068328778965933
9212_01Oct23_020644_01Oct23_022335,2,18,-0.4184553567851343,-0.05052630247314227
9212_01Oct23_020644_01Oct23_022335,2,19,-0.3008733054188917,-0.1318833236414128
9212_01Oct23_020644_01Oct23_022335,2,20,-0.51967818042125,-0.19818353627307275
9212_01Oct23_020644_01Oct23_022335,2,21,-0.5329698077976772,-0.2408431201969989
9212_01Oct23_020644_01Oct23_022335,2,22,-0.4595527443253325,-0.24262521875687687
9212_01Oct23_020644_01Oct23_022335,2,23,-0.5784018300484112,-0.3589292823822857
9212_01Oct23_020644_01Oct23_022335,2,24,-0.47365551789169125,-0.35473765259559076
9212_01Oct23_042441_01Oct23_044343,1,0,0.1419180233741546,0.19463373130208145
9212_01Oct23_042441_01Oct23_044343,1,1,-0.2638067791712606,0.032574311204446545
9212_01Oct23_042441_01Oct23_044343,1,2,-0.2455189069636987,-0.13857127935319855
9212_01Oct23_042441_01Oct23_044343,1,3,-0.4361108783984477,-0.31700198471939844
9212_01Oct23_042441_01Oct23_044343,1,4,-0.5131172596724715,-0.46097947179369597
9212_01Oct23_042441_01Oct23_044343,1,5,-0.4150052329260634,-0.5505435223511775
9212_01Oct23_042441_01Oct23_044343,1,6,-0.2788644028432277,-0.611023773261184
9212_01Oct23_042441_01Oct23_044343,1,7,-0.4280674408934024,-0.7348373002248405
9212_01Oct23_042441_01Oct23_044343,1,8,-0.37482119403680486,-0.7804263686112607
9212_01Oct23_042441_01Oct23_044343,1,9,-0.18958948801503506,-0.7966297843573986
9212_01Oct23_042441_01Oct23_044343,1,10,-0.23183830351137213,-0.694177556966509
9212_01Oct23_042441_01Oct23_044343,1,11,-1.3970127788870759,0.023547259413487554
9212_01Oct23_042441_01Oct23_044343,1,12,-1.6808690689512715,0.06751098120564061
9212_01Oct23_042441_01Oct23_044343,1,13,-1.6411433711503938,0.09874284503508349
9212_01Oct23_042441_01Oct23_044343,1,14,-1.640571806353455,0.1281052369359014
9212_01Oct23_042441_01Oct23_044343,1,15,-1.7421966674810405,0.15096220989955328
