scan_name,plane,scan_point,correction_x,correction_y
9212_01Oct23_004415_01Oct23_010327,1,0,-0.16512517776201552,0.21717231497048553
9212_01Oct23_004415_01Oct23_010327,1,1,-0.5060641648100064,0.13081209313362765
9212_01Oct23_004415_01Oct23_010327,1,2,-0.6297193756158864,0.05056737832508672
9212_01Oct23_004415_01Oct23_010327,1,3,-0.8956783606147642,-0.03326481076845332
9212_01Oct23_004415_01Oct23_010327,1,4,-0.8038772915917453,-0.10098519172199114
9212_01Oct23_004415_01Oct23_010327,1,5,-1.115895995379236,-0.18393991418036226
9212_01Oct23_004415_01Oct23_010327,1,6,-0.9711052449741311,-0.23560306156127672
9212_01Oct23_004415_01Oct23_010327,1,7,-1.033040291965638,-0.2282645943440007
9212_01Oct23_004415_01Oct23_010327,1,8,-0.891600358388811,-0.208240205976719
9212_01Oct23_004415_01Oct23_010327,1,9,-1.128343280823594,-0.19625114543624841
9212_01Oct23_004415_01Oct23_010327,1,10,-1.0717695937947322,-0.18378661108893793
9212_01Oct23_004415_01Oct23_010327,1,11,-1.1564486756786267,-0.15318640324016428
9212_01Oct23_004415_01Oct23_010327,1,12,-1.0767563807035094,-0.11322874623735568
9212_01Oct23_004415_01Oct23_010327,1,13,-1.1881387372544026,-0.05739794912037335
9212_01Oct23_004415_01Oct23_010327,1,14,-1.0427156326798144,-0.05583142846902491
9212_01Oct23_004415_01Oct23_010327,1,15,-1.1307367919632765,0.015134801363005842
9212_01Oct23_004415_01Oct23_010327,1,16,-1.0713950147104543,-0.0020853312072070507
9212_01Oct23_004415_01Oct23_010327,1,17,-1.2599238229975829,-0.004879048919380677
9212_01Oct23_004415_01Oct23_010327,1,18,-1.0321342083338958,-0.01038265277215268
9212_01Oct23_004415_01Oct23_010327,1,19,-0.8614481980309813,0.012342516649119901
9212_01Oct23_004415_01Oct23_010327,1,20,-0.7608483833322564,-0.026966426292142347
9212_01Oct23_004415_01Oct23_010327,1,21,-0.6196604124900431,-0.07983007552366116
9212_01Oct23_004415_01Oct23_010327,1,22,-0.7802310596718431,-0.13512686272509322
9212_01Oct23_004415_01Oct23_010327,1,23,-0.5838063508791027,-0.2079208103996769
9212_01Oct23_004415_01Oct23_010327,1,24,-0.4192373174509989,-0.2777638689396214
9212_01Oct23_004415_01Oct23_010327,2,0,0.18509349714397594,-0.062409319476285086
9212_01Oct23_004415_01Oct23_010327,2,1,0.21058546894758362,-0.25800088457623993
9212_01Oct23_004415_01Oct23_010327,2,2,0.15111041261363134,-0.48826755554963464
9212_01Oct23_004415_01Oct23_010327,2,3,0.1928230714809093,-0.5059660440597524
9212_01Oct23_004415_01Oct23_010327,2,4,0.21494667269750767,-0.468996949717769
9212_01Oct23_004415_01Oct23_010327,2,5,0.1454521912268787,-0.48711729784488983
9212_01Oct23_004415_01Oct23_010327,2,6,0.19963603711919306,-0.47680389376177773
9212_01Oct23_004415_01Oct23_010327,2,7,0.1939571774890015,-0.49633199079543444
9212_01Oct23_004415_01Oct23_010327,2,8,0.20261238571164256,-0.4615945534691898
9212_01Oct23_004415_01Oct23_010327,2,9,0.20657542596663078,-0.5476038844727544
