scan_name,plane,scan_point,correction_x,correction_y
9212_01Oct23_004415_01Oct23_010327,1,0,-0.6265356173268122,0.21633205978302913
9212_01Oct23_004415_01Oct23_010327,1,1,-1.009137227853625,0.1298959678910115
9212_01Oct23_004415_01Oct23_010327,1,2,-1.1820601376959714,0.04956153374337523
9212_01Oct23_004415_01Oct23_010327,1,3,-1.5060014894117542,-0.03437624460484403
9212_01Oct23_004415_01Oct23_010327,1,4,-1.480657997065836,-0.10221764866224003
9212_01Oct23_004415_01Oct23_010327,1,5,-1.863950504586223,-0.18530216485343784
9212_01Oct23_004415_01Oct23_010327,1,6,-1.7853066179587749,-0.23708576951198904
9212_01Oct23_004415_01Oct23_010327,1,7,-1.889719799496415,-0.229824657442853
9212_01Oct23_004415_01Oct23_010327,1,8,-1.7408083806246673,-0.20978666306725688
9212_01Oct23_004415_01Oct23_010327,1,9,-1.8926936328535378,-0.19764307178480045
9212_01Oct23_004415_01Oct23_010327,1,10,-1.6572990223378634,-0.18485289415831482
9212_01Oct23_004415_01Oct23_010327,1,11,-1.4757881648778428,-0.15376793898220856
9212_01Oct23_004415_01Oct23_010327,1,12,-1.0767563807035094,-0.11322874623735568
9212_01Oct23_004415_01Oct23_010327,1,13,-0.8687992480551866,-0.056816413378329086
9212_01Oct23_004415_01Oct23_010327,1,14,-0.4571862041366833,-0.054765145399648024
9212_01Oct23_004415_01Oct23_010327,1,15,-0.36638643993333264,0.016526727711557852
9212_01Oct23_004415_01Oct23_010327,1,16,-0.22218699247459825,-0.000538874116669171
9212_01Oct23_004415_01Oct23_010327,1,17,-0.40324431546680595,-0.0033189858205283974
9212_01Oct23_004415_01Oct23_010327,1,18,-0.21793283534925212,-0.008899944821440369
9212_01Oct23_004415_01Oct23_010327,1,19,-0.1133936888239942,0.013704767322195478
9212_01Oct23_004415_01Oct23_010327,1,20,-0.0840676778581656,-0.025733969351893437
9212_01Oct23_004415_01Oct23_010327,1,21,-0.009337283693053311,-0.07871864168727044
9212_01Oct23_004415_01Oct23_010327,1,22,-0.22789029759175822,-0.13412101814338173
9212_01Oct23_004415_01Oct23_010327,1,23,-0.08073328783548411,-0.20700468515706072
9212_01Oct23_004415_01Oct23_010327,1,24,0.042173122113797756,-0.27692361375216507
9212_01Oct23_004415_01Oct23_010327,2,0,0.18513684298895958,-0.1453523694632461
9212_01Oct23_004415_01Oct23_010327,2,1,0.2106327206256472,-0.3484178160507931
9212_01Oct23_004415_01Oct23_010327,2,2,0.1511622685964616,-0.5874949065825807
9212_01Oct23_004415_01Oct23_010327,2,3,0.19288031291172378,-0.6154985461752291
9212_01Oct23_004415_01Oct23_010327,2,4,0.2150100215015721,-0.5902160198296356
9212_01Oct23_004415_01Oct23_010327,2,5,0.1455219796714627,-0.6206587353188298
9212_01Oct23_004415_01Oct23_010327,2,6,0.1997116342943736,-0.6214604411710761
9212_01Oct23_004415_01Oct23_010327,2,7,0.1940362446799712,-0.647628475508092
9212_01Oct23_004415_01Oct23_010327,2,8,0.2026902535948252,-0.6105961412714787
9212_01Oct23_004415_01Oct23_010327,2,9,0.20664507773806753,-0.6808837954340157
9212_01Oct23_004415_01Oct23_010327,2,10,0.15213948056016868,-0.5177788924887392
9212_01Oct23_004415_01Oct23_010327,2,11,0.16730992697554398,-0.4943202739206287
9212_01Oct23_004415_01Oct23_010327,2,12,0.2498175760258763,-0.5435501807566625
9212_01Oct23_004415_01Oct23_010327,2,13,0.17603706473267047,-0.49893143396177125
9212_01Oct23_004415_01Oct23_010327,2,14,0.1939867139192175,-0.5742871375558067
9212_01Oct23_004415_01Oct23_010327,2,15,0.1407908586732507,-0.4452103122686707
9212_01Oct23_004415_01Oct23_010327,2,16,0.06382158050380045,-0.4402941802274657
9212_01Oct23_004415_01Oct23_010327,2,17,-0.015379722759818578,-0.45974223571415906
9212_01Oct23_004415_01Oct23_010327,2,18,0.06825514835593095,-0.33570797506911676
9212_01Oct23_004415_01Oct23_010327,2,19,0.08923809992566553,-0.2425154857157684
9212_01Oct23_004415_01Oct23_010327,2,20,0.07476486660094403,-0.28852663853958654
9212_01Oct23_004415_01Oct23_010327,2,21,0.032081673604857024,-0.30395649396083857
